'zen'de'mei'hua'pu'bi'xiang 怎得梅花扑鼻香
'zen'dei'mei'hua'pu'bi'xiang 怎得梅花扑鼻香
'jing'guo'da'hai'de'yi'fan'mo'li 经过大海的一番磨砺
'xue'hui'san'tian'xue'hao'san'nian 学会三天学好三年
'qin'fen'he'zhi'hui'shi'shuang'bao'tai 勤奋和智慧是双胞胎
'qin'fen'hu'zhi'hui'shi'shuang'bao'tai 勤奋和智慧是双胞胎
'qin'fen'huo'zhi'hui'shi'shuang'bao'tai 勤奋和智慧是双胞胎
'lan'duo'he'yu'chun'shi'qin'xiong'di 懒惰和愚蠢是亲兄弟
'lan'duo'hu'yu'chun'shi'qin'xiong'di 懒惰和愚蠢是亲兄弟
'lan'duo'huo'yu'chun'shi'qin'xiong'di 懒惰和愚蠢是亲兄弟
'qin'fen'zhe'fei'qin'wang'shi 勤奋者废寝忘食
'lan'duo'ren'zong'mei'you'shi'jian 懒惰人总没有时间
'yu'bu'zhuo'bu'cheng'qi 玉不琢不成器
'mu'bu'diao'bu'cheng'cai 木不雕不成材
'mu'fou'diao'bu'cheng'cai 木不雕不成材
'ren'bu'xue'bu'zhi'li 人不学不知理
'du'shu'po'wan'juan'xia'bi'ru'you'shen 读书破万卷下笔如有神
'shu'du'bai'bian'qi'yi'zi'xian 书读百遍其义自见
'shu'dou'bai'bian'qi'yi'zi'xian 书读百遍其义自见
'shu'duo'bai'bian'qi'yi'zi'xian 书读百遍其义自见
'shi'shang'wu'nan'shi'zhi'pa'you'xin'ren 世上无难事只怕有心人
'xue'zai'ku'zhong'qiu'yi'zai'qin'zhong'lian 学在苦中求艺在勤中练
'feng'cai'bai'hua'niang'tian'mi 蜂采百花酿甜蜜
'ren'du'qun'shu'ming'zhen'li 人读群书明真理
'ren'dou'qun'shu'ming'zhen'li 人读群书明真理
'ren'duo'qun'shu'ming'zhen'li 人读群书明真理
'shui'zhi'pan'zhong'can 谁知盘中餐
'li'li'jie'xin'ku 粒粒皆辛苦
'yao'de'hui'tian'tian'lei 要得会天天累
'yao'de'kuai'tian'tian'lei 要得会天天累
'yao'de'jing'yong'ming'pin 要得精用命拼
'yao'de'jing'ren'yi 要得惊人艺
'xu'xia'ku'gong'fu 须下苦功夫
'du'shu'qin'nai'you 读书勤乃有
'bu'qin'fu'zhong'xu 不勤腹中虚
'huo'dao'lao'xue'dao'lao 活到老学到老
'xue'dao'ba'shi'reng'xian'shao 学到八十仍嫌少
'ben'niao'xian'fei'zao'ru'lin 笨鸟先飞早入林
'gong'fu'bu'fu'ku'xin'ren 功夫不负苦心人
'shu'neng'sheng'qiao'qiao'neng'sheng'jing 熟能生巧巧能生精
'cai'hua'shi'xue'han'de'jie'jing 才华是血汗的结晶
'cai'hua'shi'xue'han'di'jie'jing 才华是血汗的结晶
'bu'qin'yu'shi'jiang'hui'yu'zhong 不勤于始将悔于终
'bu'qin'yu'shi'qiang'hui'yu'zhong 不勤于始将悔于终
'bai'bei'qi'gong'zhong'bi'you'cheng 百倍其功终必有成
'bai'bei'ji'gong'zhong'bi'you'cheng 百倍其功终必有成
'hao'gao'wu'yuan'de'yi'wu'suo'de 好高骛远的一无所得
'hao'gao'wu'yuan'di'yi'wu'suo'de 好高骛远的一无所得
'mai'tou'ku'gan'de'huo'de'zhi'shi 埋头苦干的获得知识
'mai'tou'ku'gan'di'huo'de'zhi'shi 埋头苦干的获得知识
'quan'bu'li'shou'qu'bu'li'kou 拳不离手曲不离口
'zhi'shi'xu'yao'fan'fu'tan'suo 知识需要反复探索
'tu'di'xu'yao'xin'qin'geng'yun 土地需要辛勤耕耘
'yi'cun'guang'yin'yi'cun'jin 一寸光阴一寸金
'cun'jin'nan'mai'cun'guang'yin 寸金难买寸光阴
'yi'ri'wu'er'chen 一日无二晨
'shi'guo'bu'zai'lin 时过不再临
'mian'zhi'qi'bu'zhi'duo'huo'you'li'yun 勉之期不止多获由力耘
'mian'zhi'ji'bu'zhi'duo'huo'you'li'yun 勉之期不止多获由力耘
'xue'wen'qin'zhong'de 学问勤中得
'qin'fen'shi'hao'yun'zhi'mu 勤奋是好运之母
'yue'nu'li'yue'xing'yun 越努力越幸运
'wei'bian'san'jue'xuan'liang'ci'gu 韦编三绝悬梁刺骨
'zao'bi'tou'guang'nang'ying'ying'xue 凿壁偷光囊萤映雪
'wo'xin'chang'dan'yuan'mu'jing'zhen 卧薪尝胆圆木警枕
'yi'fen'geng'yun'yi'fen'shou'huo 一分耕耘一分收获
'tian'cai'lai'zi'qin'fen 天才来自勤奋
'zhi'hui'shi'qin'lao'de'jie'jing 智慧是勤劳的结晶
'zhi'hui'shi'qin'lao'di'jie'jing 智慧是勤劳的结晶
'cheng'jiu'shi'lao'dong'de'hua'shen 成就是劳动的化身
'cheng'jiu'shi'lao'dong'di'hua'shen 成就是劳动的化身
'ru'qie'ru'cuo 如切如磋
'ru'zhuo'ru'mo 如琢如磨
'ru'zuo'ru'mo 如琢如磨
'yan'zhe'wu'zui 言者无罪
'wen'zhe'zu'jie 闻者足戒
'ta'shan'zhi'shi 它山之石
'ke'yi'gong'yu 可以攻玉
'tou'wo'yi'tao 投我以桃
'bao'zhi'yi'li 报之以李
'mi'bu'you'chu 靡不有初
'xian'ke'you'zhong 鲜克有终
'man'zhao'sun 满招损
'qian'shou'yi 谦受益
'fu'che'xiang'yi 辅车相依
'chun'wang'chi'han 唇亡齿寒
'wang'yang'bu'lao 亡羊补牢
'you'wei'chi'ye 犹未迟也
'zhi'ji'zhi'bi 知己知彼
'bai'zhan'bu'dai 百战不殆
'qian'li'zhi'xing 千里之行
'shi'yu'zu'xia 始于足下
'tian'wang'hui'hui 天网恢恢
'shu'er'bu'lou 疏而不漏
'zhi'ren'zhe'zhi 知人者智
'zi'zhi'zhe'ming 自知者明
'wu'yi'lei'ju 物以类聚
'ren'yi'qun'fen 人以群分
'ji'suo'bu'yu 己所不欲
'wu'shi'yu'ren 勿施于人
'xue'er'bu'yan 学而不厌
'hui'ren'bu'juan 诲人不倦
'ren'wu'yuan'lv 人无远虑
'bi'you'jin'you 必有近忧
