'chang'wang'jiang'tou'jiang'shui'sheng 怅望江头江水声
'kuang'nai'wei'xiu'bing 况乃未休兵
'hun'po'bu'ceng'lai'ru'meng 魂魄不曾来入梦
'he'ri'geng'zhong'you 何日更重游
'tai'kong'jiang'zi'liu 台空江自流
'xing'neng'shu'yi'wen'zhe 醒能述以文者
'xing'nai'shu'yi'wen'zhe 醒能述以文者
'hua'wei'lang'yu'chai 化为狼与豺
'xing'zhe'xiu'yu'shu 行者休于树
'xing'zhe'xu'yu'shu 行者休于树
'la'zhu'you'xin'huan'xi'bie 蜡烛有心还惜别
'a'mu'bai'mei'ren 阿母白媒人
'a'mu'ceng'yao'dao'han'gong 阿母曾邀到汉宫
'a'mu'zeng'yao'dao'han'gong 阿母曾邀到汉宫
'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang 阿母大拊掌
'a'mu'dai'fu'zhang 阿母大拊掌
'a'mu'tai'fu'zhang 阿母大拊掌
'a'mu'de'wen'zhi 阿母得闻之
'a'mu'dei'wen'zhi 阿母得闻之
'a'mu'wei'a'nv 阿母谓阿女
'a'mu'wei'fu'li 阿母谓府吏
'a'mu'wei'ru'qiu 阿母为汝求
'a'mu'xie'mei'ren 阿母谢媒人
'a'mu'zhong'tao'yun'hai'ji 阿母种桃云海际
'a'mu'chong'tao'yun'hai'ji 阿母种桃云海际
'a'na'qu 阿那曲
'e'na'qu 阿那曲
'a'nu'luo'xiu'bu'tong'lao 阿奴络秀不同老
'a'nu'lao'xiu'bu'tong'lao 阿奴络秀不同老
'a'nu'xi'qi'zhao'ren'huang 阿奴喜气照人黄
'a'nu'xu'lu'lu 阿奴须碌碌
'a'nv'mo'wu'sheng 阿女默无声
'a'nv'xian'lei'da 阿女衔泪答
'a'po'liu'shi'weng'qi'shi 阿婆六十翁七十
'a'rong'fan'ge'wan'shan'yun 阿戎翻隔万山云
'e'rong'fan'ge'wan'shan'yun 阿戎翻隔万山云
'a'rong'xiu'yu'die 阿戎修玉牒
'e'rong'xiu'yu'die 阿戎修玉牒
'e'xian'da'dan'hu'chi'qu 阿咸大胆忽持去
'a'xiong'de'wen'zhi 阿兄得闻之
'a'xiong'dei'wen'zhi 阿兄得闻之
'e'xiong'de'wen'zhi 阿兄得闻之
'e'xiong'dei'wen'zhi 阿兄得闻之
'a'xiong'liang'chi'qing'zhou'jie 阿兄两持庆州节
'e'xiong'liang'chi'qing'zhou'jie 阿兄两持庆州节
'a'ya'shou'zhi'suo'zi'shou 阿雅守之索自收
'ai'ai'bing'xue'hang 哀哀冰雪行
'ai'ai'bing'xue'xing 哀哀冰雪行
'ai'ai'cang'gu'si 蔼蔼藏孤寺
'ai'ai'zang'gu'si 蔼蔼藏孤寺
'ai'ai'zhao'yun'sheng 霭霭朝云生
'ai'ai'chun'feng'ru'shui'cun 蔼蔼春风入水村
'ai'ai'chun'kong 霭霭春空
'ai'ai'dang'chuang'yi'zhu'yun 霭霭当窗一炷云
'ai'ai'di'wang'zhou 蔼蔼帝王州
'ai'ai'feng'yan'wan 暧暧风烟晚
'ai'ai'fu'mu 哀哀父母
'ai'ai'fu'mu'sheng'yu'wo 哀哀父母生育我
'ai'ai'fu'yun'fei 蔼蔼浮云飞
'ai'ai'gu'cheng'bei 蔼蔼孤城背
'ai'ai'jun'shi'si'ling'yun 蔼蔼君诗似岭云
'ai'ai'jun'shi'shi'ling'yun 蔼蔼君诗似岭云
'ai'ai'lin'ting'wan 蔼蔼林亭晚
'ai'ai'long'ling'ge 暧暧笼铃阁
'ai'ai'long'shang'yun 蔼蔼垅上云
'ai'ai'mei'yao'fen 蔼蔼没遥氛
'ai'ai'mo'yao'fen 蔼蔼没遥氛
'ai'ai'ming'yue'lou 哀哀明月楼
'ai'ai'qi'ting'pin'cong'lie 蔼蔼绮庭嫔从列
'ai'ai'qi'ting'pin'zong'lie 蔼蔼绮庭嫔从列
'ai'ai'qing'cheng'yun 蔼蔼青城云
'ai'ai'qu'chen'hun'ba'an 暧暧去尘昏灞岸
'ai'ai'ru'xian'gong 蔼蔼入仙宫
'ai'ai'shu'se'shen 蔼蔼树色深
'ai'ai'tian'qi'zhuan 蔼蔼天旗转
'ai'ai'tian'qi'zhuai 蔼蔼天旗转
'ai'ai'xiang'yun'nian'lu'qing 霭霭祥云辇路晴
'ai'ai'yao'shan'man 蔼蔼瑶山满
'ba'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'pi'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'gu'xiang'bu'ke'jian 故乡不可见
'zhi'wei'zhan'lou'lan 直为斩楼兰
'zhang'fu'dang'ru'ci 丈夫当如此
'sui'jiao'fang'shi'yin'qin'mi 遂教方士殷勤觅
'nian'shao'wan'dou'mou 年少万兜鍪
'nian'shao'mo'dou'mou 年少万兜鍪
'sheng'tian'ru'di'qiu'zhi'bian 升天入地求之遍
'mu'yu'zhi'er'cheng'se 目遇之而成色
'mu'yu'zhi'er'cheng'shai 目遇之而成色
'lei'man'chun'shan'xiu 泪满春衫袖
'bu'si'xiang'feng'hao 不似相逢好
'dao'ci'chou'chu'bu'neng'qu 到此踌躇不能去
'yuan'wei'bi'yi'niao 愿为比翼鸟
'yan'hua'er're'hou 眼花耳热后
'xiang'si'yi'ye'qing'duo'shao 相思一夜情多少
'e'zhu'ying'xu'zhan'wan'gan 恶竹应须斩万竿
'wu'zhu'ying'xu'zhan'wan'gan 恶竹应须斩万竿
'e'zhu'ying'xu'zhan'mo'gan 恶竹应须斩万竿
'wu'zhu'ying'xu'zhan'mo'gan 恶竹应须斩万竿
'wu'di'zhu'xiang'si 无地著相思
'wu'di'zhuo'xiang'si 无地著相思
