'an'teng'an'chong 安藤广重
'an'tong 安童
'an'tu'sheng 安徒生
'an'xi'qi 安西奇
'an'yi'hua 安沂华
'an'yi'xuan 安以轩
'an'you'qi 安又琪
'an'ze'hao 安泽豪
'an'zhi'yuan 安致远
'an'zuo'yong 安祚永
'ang'gu'er'liang 昂古尔良
'ang'shan'su'ji 昂山素姬
'ao'you'xiang 敖幼祥
'ao'bu'lai'en 奥布来恩
'yu'bu'lai'en 奥布来恩
'ao'dai'li 奥黛丽
'ao'de'sai 奥德赛
'ao'er'bu'lai'te 奥尔布赖特
'ao'gu'si'ding 奥古斯丁
'ao'gu'si'du 奥古斯都
'ao'gu'si'te 奥古斯特
'ao'jin'lai'ke 奥金莱克
'ao'ke'ta'wei'ao 奥克塔维奥
'ao'ke'ta'wei'yu 奥克塔维奥
'ao'le'liu 奥勒留
'ao'lei'liu 奥勒留
'yu'le'liu 奥勒留
'yu'lei'liu 奥勒留
'ao'li'jia'si 奥里加斯
'yu'li'jia'si 奥里加斯
'ao'li'fu 奥利弗
'ao'li'wei'la 奥利维拉
'ao'lie'ge 奥列格
'yu'lie'ge 奥列格
'ao'ni'er 奥尼尔
'ao'sha'li'wen 奥沙利文
'ao'si'ka 奥斯卡
'ao'si'man 奥斯曼
'ao'si'te'luo'fu'si'ji 奥斯特洛夫斯基
'ao'si'ting 奥斯汀
'ao'te'jia 奥特加
'ao'tuo 奥托
'ao'wei'er 奥威尔
'yu'wei'er 奥威尔
'ao'wei'lan 奥维兰
'yu'wei'lan 奥维兰
'ao'xi 奥西
'yu'xi 奥西
'ba'si'ba 八思巴
'ba'ba'la 巴巴拉
'ba'ba'ye'wa 巴巴耶娃
'ba'bo'lu 巴勃鲁
'ba'bei'lu 巴勃鲁
'ba'bo'luo 巴勃罗
'ba'dan 巴丹
'ba'di'si'tu'ta 巴蒂斯图塔
'ba'dun 巴顿
'ba'duo'li'ao 巴多里奥
'ba'er'da'nuo 巴尔达诺
'ba'er'de'si 巴尔德斯
'ba'er'zha'ke 巴尔扎克
'ba'fu'luo'fu 巴甫洛夫
'ba'fu'luo'wei'qi 巴甫洛维奇
'ba'jia'wei 巴家伟
'ba'jin 巴金
'ba'la'di 巴拉迪
'ba'la'ke 巴拉克
'ba'lei'la 巴雷拉
'ba'lei'xi 巴雷西
'ba'man'zi 巴蔓子
'ba'wan'zi 巴蔓子
'ba'qiao 巴乔
'ba'ren 巴人
'ba'shu'song 巴曙松
'ba'si'de 巴斯德
'ba'si'teng 巴斯腾
'ba'te'er 巴特尔
'ba'xi'er'er'shi 巴西尔二世
'ba'xi'er'yi'shi 巴西尔一世
'ba'du 拔都
'bai'bing'bing 白冰冰
'bai'chen 白沉
'bai'cheng'hao 白成豪
'bai'cheng'xuan 白诚铉
'bai'chong'xi 白崇禧
'bai'feng'ji 白峰基
'bai'feng'ming 白凤鸣
'bai'gui 白圭
'bai'hang'jian 白行简
'bai'xing'jian 白行简
'bai'he'liang 白鹤亮
'bai'jie 白洁
'bai'ju'yi 白居易
'bai'lang 白朗
'bai'li'bin 白利彬
'bai'ling 白灵
'bai'peng'fei 白鹏飞
'bai'pu 白朴
'bai'qi 白起
'bai'qing'lin 白庆琳
'bai'qiu'en 白求恩
'bai'shi'yu 白石裕
'bai'shu'xiang 白淑湘
'bai'song 白嵩
'bai'xian'yong 白先勇
'bai'xin'yi 白欣怡
'bai'xiu'de 白修德
'bai'yan'song 白岩松
'bai'yan 白燕
'bai'yang 白杨
'bai'yin 白茵
'bai'yin'ge'li 白音格力
'bai'ying 白英
'bai'yong'cheng 白永成
'bai'yu'shuang 白玉霜
'bai'yuan 白元
'bai'yun'peng 白云鹏
'bai'li'xi 百里奚
'bai'li'xi 百里溪
'bai'bang'ni 柏邦妮
'bo'bang'ni 柏邦妮
'bai'han 柏含
'bo'han 柏含
'bai'hui'zhang 柏辉章
'bo'hui'zhang 柏辉章
'bo'la'tu 柏拉图
'bai'yang 柏杨
'ban'biao 班彪
'ban'chan 班禅
'ban'chan'e'er'de'ni 班禅额尔的尼
'ban'chan'e'er'di'ni 班禅额尔的尼
'ban'chao 班超
'ban'gu 班固
'ban'ke'luo'fu'te 班克罗夫特
'ban'ke'si 班克斯
'ban'yang 班扬
'ban'zhao 班昭
'ban'kou'long'san 坂口隆三
'ban'tian'rong'nan 坂田荣男
'bang'de 邦德
'bao'er'han 包尔汉
'bao'gong 包公
'bao'ran 包冉
'bao'ren 包仁
'bao'shi'chen 包世臣
'bao'xun'guo 包训国
'bao'yu'gang 包玉刚
'bao'zheng 包拯
'bao'jian'feng 保剑锋
'bao'lu'si 保卢斯
'bao'luo 保罗
'bao'luo'ai'lun 保罗艾伦
'bao'bi 鲍比
'bao'chao 鲍超
'bao'fang 鲍方
'bao'gang 鲍刚
'bao'ge 鲍革
'bao'ji 鲍革
'bao'lin 鲍林
'bao'man 鲍曼
'bao'ning 鲍宁
'bao'zhao 鲍照
'bei'cun 北村
'bei'hai'wang 北海王
'bei'hai'wang'mu'rong'chao 北海王慕容超
'bei'a'er'zuo'te 贝阿尔佐特
'bei'bei'tuo 贝贝托
'bei'duo'fen 贝多芬
'bei'en 贝恩
'bei'er'ge'mi 贝尔戈米
'bei'er'na 贝尔纳
'bei'er'na'bei'wu 贝尔纳贝乌
'bei'fu'li'qi 贝弗里奇
'bei'ke'han'mu 贝克汉姆
'bei'ken'bao'er 贝肯鲍尔
'bei'li 贝利
'bei'long 贝隆
'bei'lu'si'ke'ni 贝卢斯科尼
'bei'rui 贝瑞
'bei'si'te 贝斯特
'bei'er'zhi'jin'tie'mu'zhen 孛儿只斤铁木真
'bo'er'zhi'jin'tie'mu'zhen 孛儿只斤铁木真
'bei'shang'qian'hui'zi 倍赏千惠子
'ben'jie'ming 本杰明
'ben'la'deng 本拉登
'ben'tian'bang'jiu 本田邦久
'ben'tian'man'yan 本田满彦
'ben'xiang'jian 本乡健
'ben'ya'ming 本雅明
'bi'er 比尔
'bi'er'gai'ci 比尔盖茨
'bi'gan 比干
'bi'la'er'duo 比拉尔多
'bi'de 彼得
'bi'de'da'di 彼得大帝
'bi'de'mei'er 彼得梅尔
'bi'shen'ke'fu 彼什科夫
'bi'shi'ke'fu 彼什科夫
'bi'te 彼特
'bi'bin'bin 毕彬彬
'bi'da'ge'la'si 毕达哥拉斯
'bi'jia'suo 毕加索
'bi'jin'chen 毕荩臣
'bi'ran 毕然
'bi'sheng 毕升
'bi'xi'dong 毕熙东
'bi'xiao'pu 毕晓普
'bi'yu'xi 毕玉玺
'bi'shan 碧珊
'bi'ye 碧野
'bian'que 扁鹊
'bian'bing'bin 卞秉彬
'bie'er'jia'ye'fu 别尔嘉耶夫
'bie'la'nuo'fu 别拉诺夫
'bie'lin'si'ji 别林斯基
'bin'han'mu 宾汉姆
'bin'qi'bu 滨崎步
'bing'xin 冰心
'bing'ge 兵哥
'bing'sheng 兵圣
'bing'zhi 秉志
'bing'duo'ci 并多次
'bo'ai'xiu'si 波爱修斯
'bo'de'lai'er 波德莱尔
'bo'er 波尔
'bo'er'ke 波尔克
'bo'fu'wa 波伏瓦
'bo'pu 波普
'bo'pu'er 波普尔
'bo'zuo 波佐
'bo'en 玻恩
'bo'er 玻尔
'bo'er'zi'man 玻尔兹曼
'bo'er'ci'man 玻尔兹曼
'bo'li'wa'er 玻利瓦尔
'bo'yang 伯阳
'bo'yi 伯夷
'bo'lang'ning 勃朗宁
'bo'lang'te 勃朗特
'bo'lao'xi'qi 勃劳希契
'bei'lao'xi'qi 勃劳希契
'bo'lao'xi'qie 勃劳希契
'bo'lao'xi'xie 勃劳希契
'bei'lao'xi'qie 勃劳希契
'bei'lao'xi'xie 勃劳希契
'bo'luo'mu'bao 勃洛姆堡
'bei'luo'mu'bao 勃洛姆堡
'bo'luo'mu'bu 勃洛姆堡
'bo'luo'mu'pu 勃洛姆堡
'bei'luo'mu'bu 勃洛姆堡
'bei'luo'mu'pu 勃洛姆堡
'bo'ba 博巴
'bo'bi 博比
'bo'er'hu 博尔忽
'bo'ge'kan'pu 博格坎普
'bo'gu 博古
'bo'ke 博克
'bo'la 博拉
'bo'nie'ke 博涅克
'bo'si'man 博斯曼
'bu'feng'bo 卜凤波
'bo'feng'bo 卜凤波
'bu'wan'cang 卜万苍
'bo'wan'cang 卜万苍
'bu'mo'cang 卜万苍
'bo'mo'cang 卜万苍
'bu'xiang'zhi 卜祥志
'bu'xiang 不降
'bu'shou 不寿
'fou'shou 不寿
'bu'dai'he'shang 布袋和尚
'bu'de'er 布德尔
'bu'er'da 布尔达
'bu'ha'lin 布哈林
'bu'kan'nan 布坎南
'bu'la'ji'lai'luo 布拉济莱罗
'bu'la'te 布拉特
'bu'lai'de'lei 布莱德雷
'bu'lai'en 布莱恩
'bu'lai'er 布莱尔
'bu'lai'ke 布莱克
'bu'lai'te'na 布莱特纳
'bu'lai'xi'te 布莱希特
'bu'lan'ke 布兰科
'bu'lan'ni 布兰妮
'bu'lang 布朗
'bu'le'dong 布勒东
'bu'lei'dong 布勒东
'bu'lei'ke 布雷克
'bu'lei'mo 布雷默
'bu'lu'cha'jia 布鲁查加
'bu'lu'zha'jia 布鲁查加
'bu'lu'nuo 布鲁诺
'bu'luo'ci'ji 布罗茨基
'bu'luo'xin 布洛欣
