'xue'er'shi'xi'zhi 学而时习之
'liang'ru'jiang'hai 量如江海
'du'shan'qi'mei 独擅其美
'du'shan'ji'mei 独擅其美
'bai'ding'su'ke 白丁俗客
'ting'shuo'ting'dao 听説听道
'ting'shui'ting'dao 听説听道
'ting'yue'ting'dao 听説听道
'que'er'chang'du 雀儿肠肚
'ji'ji'bin'bin 济济斌斌
'zhu'chun'fen'mian 朱唇粉面
'fei'shi 费时
'qu'zhi'ru'wu 趋之如鹜
'cu'zhi'ru'wu 趋之如鹜
'san'feng'wu'qi 三风五气
'he'zu'gua'chi 何足挂齿
'qian'tiao'wan'duan 千条万端
'bing'gong'wu'si 秉公无私
'xin'ling'shou'qiao 心灵手巧
'gui'bu'qi'jiao 贵不期骄
'bei'chuang'zhi'you 北窗之友
'zu'gong'zong'de 祖功宗德
'long'niao'jian'shi 笼鸟减食
'long'niao'jian'si 笼鸟减食
'long'niao'jian'yi 笼鸟减食
'bi'bi'hua'hua 比比划划
'shen'zhong'du'xing 深中笃行
'xie'jia'chi 谢家池
'nian'nian'hu'hu 黏黏糊糊
'cai'bo'zhi'qian 才薄智浅
'qian'shui'wan'shan 千水万山
'yin'jiao'tao'zhi 银角桃枝
'sheng'bi'lv'shuai 盛必虑衰
'ju'ren'qian'li 拒人千里
'bu'gu'bu'long 不瞽不聋
'yong'fu'han'zu 勇夫悍卒
'yong'fu'han'cu 勇夫悍卒
'gui'sui'jiao'jiang 桂髓椒浆
'qiao'miao'jue'lun 巧妙绝伦
'qu'tu'yi'xin 曲突移薪
'zhao'jia'zi'mei 赵家姊妹
'zhao'jia'jie'mei 赵家姊妹
'chu'fan'ru'sheng 出凡入胜
'wei'yan'song'ting 危言耸听
'cuan'hong'niao'luan 撺哄鸟乱
'chou'yun'can'dan 愁云惨淡
'qi'er'cheng'che 乞儿乘车
'gao'ming'fu'ren 高明妇人
'qing'tian'jia'hai 檠天架海
'mang'ran'zi'shi 茫然自失
'yu'lan'er'wang 鱼烂而亡
'li'xian'wu'fang 立贤无方
'bing'min'gu'guo 病民蛊国
'pan'pan'cha'cha 盼盼茶茶
'gui'hua'cheng 龟化城
'jun'hua'cheng 龟化城
'qiu'hua'cheng 龟化城
'qing'nuo'gua'xin 轻诺寡信
'xia'li'ba'ren 下里巴人
'dong'jia'xiao'pin 东家效颦
'hong'han'ju'du 鸿函钜椟
'bu'yu 不虞
'feng'liu'diao'fa 风流调法
