'chi'ren'bu'tu'gu'tou 吃人不吐骨头
'chi'xian'cheng'fan 吃现成饭
'chou'pan'bing'chen 愁潘病沉
'chou'ba'guai 丑八怪
'chou'ming'zhao'zhe 臭名昭着
'chou'ming'zhao'zhao 臭名昭着
'chu'du'zhi'chen 初度之辰
'chuang'tou'zhuo'dao'ren 床头捉刀人
'chui'chui'pai'pai 吹吹拍拍
'chui'hu'zi'deng'yan'jing 吹胡子瞪眼睛
'chui'niu'pi 吹牛皮
'ci'bei'wei'huai 慈悲为怀
'ci'yi'wang'wei 瓷意妄为
'cuo'guo'shi'ji 错过时机
'da'cheng'ping'shou 打成平手
'da'lei'tai 打擂台
'da'li'da'wai 打里打外
'da'ye'ya'zi 打野鸭子
'da'yuan'chang 打圆场
'da'bao'da'lan 大包大揽
'da'chi'da'he 大吃大喝
'da'chu'feng'tou 大出风头
'da'huo'lin'tou 大祸临头
'da'jiu'da'rou 大酒大肉
'da'po'da'li 大破大立
'da'shui'yan'le'long'wang'miao 大水淹了龙王庙
'dan'dang'bu'qi 担当不起
'dan'gen'du'miao 单根独苗
'dan'xiang'si 单相思
'dang'mian'chu'chou 当面出丑
'dang'mian'shi'ren'bei'hou'shi'gui 当面是人背后是鬼
'dang'jian'pai 挡箭牌
'dao'bi'lao'shou 刀笔老手
'dao'qiang'bu'ru 刀枪不入
'dao'chu'peng'bi 到处碰壁
'dao'ci'wei'zhi 到此为止
'de'xiu'bian'xiu 得休便休
'de'xiu'pian'xiu 得休便休
'dei'xiu'bian'xiu 得休便休
'de'yi'zhi'ji'si'ke'wu'hen 得一知己死可无恨
'di'yi'fu'ren 第一夫人
'dian'gan'dao'kun 颠干倒坤
'die'ling'ceng'luan 叠岭层峦
'die'shi'wei'shan 叠石为山
'ding'tou'shang'si 顶头上司
'dong'jia'qiu 东家丘
'dong'shou'dong'jiao 动手动脚
'du'shou'kong'fang 独守空房
'du'se'lou'zhi 堵塞漏卮
'du'wei'zhi'zhe 睹微知着
'du'wei'zhi'zhao 睹微知着
'du'ji'shi'qi 度己失期
'duan'xian'zai'xu 断弦再续
'dui'tian'fa'shi 对天发誓
'duo'chi'duo'zhan 多吃多占
'duo'lao'duo'de 多劳多得
'duo'mian'shou 多面手
'e'mei'dao'cu'feng'yan'yuan'zheng 蛾眉倒蹙凤眼圆睁
'e'mei'man'lu 蛾眉曼睩
'e'cun'li'fei 鹅存礼废
'e'shou'jia'li 额手加礼
'e'yan'huang'yu 讹言谎语
'e'huang'nv'ying 娥皇女英
'e'guan'huo'ying 恶贯祸盈
'e'guan'jiu'ying 恶贯久盈
'e'long'bu'dou'di'tou'she 恶龙不斗地头蛇
'e'ren'xian'gao'zhuang 恶人先告状
'e'ren'zi'you'e'ren'mo 恶人自有恶人磨
'e'shi'chuan'qian'li 恶事传千里
'e'yan'e'yu 恶言恶语
'e'yan'po'yu 恶言泼语
'e'yi'bo'shi 恶衣薄食
'e'yi'bao'shi 恶衣薄食
'e'yi'cu'shi 恶衣粗食
'e'ren'guan'ying 恶稔贯盈
'wu'ren'guan'ying 恶稔贯盈
'e'ren'huo'ying 恶稔祸盈
'wu'ren'huo'ying 恶稔祸盈
'e'ren'zui'ying 恶稔罪盈
'wu'ren'zui'ying 恶稔罪盈
'e'bi'nie'zhi 扼臂啮指
'e'wan'xing'jie 扼腕兴嗟
'e'gui'tou'tai 饿鬼投胎
'e'hu'feng'yang 饿虎逢羊
'e'hu'jian'yang 饿虎见羊
'e'hu'zan'yang 饿虎攒羊
'e'hu'cuan'yang 饿虎攒羊
'e'si'shi'da 饿死事大
'en'ai'fu'qi 恩爱夫妻
'en'duan'yi'jue 恩断意绝
'en'en'ai'ai 恩恩爱爱
'en'en'yuan'yuan 恩恩怨怨
'en'gao'yi'hou 恩高义厚
'en'jue'yi'duan 恩绝义断
'en'ren'xiang'jian'fen'wai'yan'qing 恩人相见分外眼青
'en'shen'ai'zhong 恩深爱重
'en'shen'ai'chong 恩深爱重
'en'shen'fa'chi 恩深法驰
'en'shen'si'hai 恩深似海
'en'tong'zai'sheng 恩同再生
'en'wei'bing'ji 恩威并济
'en'wei'bing'zhu 恩威并著
'en'yuan'liao'le 恩怨了了
'en'yuan'liao'liao 恩怨了了
'en'zhong'qiu'shan 恩重丘山
